Node,Username,Start Time,Duration,Service,Active,Auth,Real Ip,Vpn Ip,Proto,Port,Bytes Total,Error
openvpn-server,Grace.W,2022.04.04 08:05:02 EDT,23693,VPN,0,1,172.25.216.168,10.128.20.217,UDP,1194,5239043546,
openvpn-server,Charles.G,2022.04.04 08:30:27 EDT,18494,VPN,0,1,172.24.124.56,10.128.20.148,UDP,1194,4844521794,
openvpn-server,Abigail.D,2022.04.04 08:50:32 EDT,1078,VPN,0,1,172.29.208.165,10.128.20.151,UDP,1194,97941690,
openvpn-server,Edward.X,2022.04.04 10:02:14 EDT,21580,VPN,0,1,172.22.117.186,10.128.20.48,UDP,1194,4101171100,
openvpn-server,Richard.R,2022.04.04 10:14:34 EDT,11961,VPN,0,1,172.19.234.49,10.128.20.247,UDP,1194,965898594,
openvpn-server,Ryan.X,2022.04.04 10:50:57 EDT,,VPN,0,0,172.23.14.170,,UDP,1194,,user not found
openvpn-server,Teresa.R,2022.04.04 11:21:43 EDT,,VPN,0,0,172.22.244.77,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Edward.X,2022.04.04 11:43:24 EDT,19802,VPN,0,1,172.21.53.101,10.128.20.68,UDP,1194,457960854,
openvpn-server,Diana.Y,2022.04.04 12:09:47 EDT,18685,VPN,0,1,172.16.84.62,10.128.20.27,UDP,1194,708217555,
openvpn-server,Lauren.P,2022.04.04 12:45:22 EDT,2452,VPN,0,1,172.29.149.244,10.128.20.202,UDP,1194,610290540,
openvpn-server,Teresa.R,2022.04.04 12:55:33 EDT,1650,VPN,0,1,172.20.64.207,10.128.20.144,UDP,1194,43911450,
openvpn-server,Justin.G,2022.04.04 13:29:43 EDT,10715,VPN,0,1,172.25.163.121,10.128.20.110,UDP,1194,1628862155,
openvpn-server,Richard.R,2022.04.04 13:51:02 EDT,9019,VPN,0,1,172.23.23.57,10.128.20.14,UDP,1194,527142512,
openvpn-server,Albert.X,2022.04.04 14:04:00 EDT,6798,VPN,0,1,172.20.245.10,10.128.20.49,UDP,1194,1398117468,
openvpn-server,Helen.X,2022.04.04 14:36:32 EDT,2340,VPN,0,1,172.25.9.107,10.128.20.53,UDP,1194,370078020,
openvpn-server,Gregory.B,2022.04.04 15:00:50 EDT,11738,VPN,0,1,172.16.181.138,10.128.20.65,UDP,1194,3140243664,
openvpn-server,Alexis.U,2022.04.04 15:30:53 EDT,7692,VPN,0,1,172.21.105.185,10.128.20.104,UDP,1194,537693876,
openvpn-server,Scott.H,2022.04.04 15:43:17 EDT,3813,VPN,0,1,172.21.228.151,10.128.20.131,UDP,1194,586439400,
openvpn-server,Abigail.D,2022.04.04 16:05:50 EDT,7596,VPN,0,1,172.27.209.180,10.128.20.12,UDP,1194,1307058912,
openvpn-server,Lauren.P,2022.04.04 16:42:12 EDT,5961,VPN,0,1,172.30.207.81,10.128.20.213,UDP,1194,1040927703,
openvpn-server,Teresa.R,2022.04.04 17:13:48 EDT,5943,VPN,0,1,172.24.177.235,10.128.20.152,UDP,1194,1324142001,
openvpn-server,Albert.X,2022.04.04 17:29:25 EDT,2330,VPN,0,1,172.16.221.92,10.128.20.131,UDP,1194,500901070,
openvpn-server,Joyce.U,2022.04.04 17:57:06 EDT,,VPN,0,0,172.29.18.100,,UDP,1194,,user not found
